"datetime","Temperature","Humidity","CO2"
"2025-10-22T11:33:33+09:00",23.4,60.1,3360
"2025-10-22T11:34:33+09:00",23.6,57.7,3617
"2025-10-22T11:35:33+09:00",23.7,57.8,3782
"2025-10-22T11:36:33+09:00",23.8,62.6,3448
"2025-10-22T11:37:33+09:00",24.3,62.2,2954
"2025-10-22T11:40:16+09:00",23.6,57.5,2058
"2025-10-22T11:41:16+09:00",23.4,57.4,2017
"2025-10-22T11:42:15+09:00",23.2,57,2166
"2025-10-22T11:43:16+09:00",23.1,56.6,2014
"2025-10-22T11:44:15+09:00",22.8,56.8,1697
"2025-10-22T11:45:15+09:00",22.5,57.4,1516
"2025-10-22T11:46:15+09:00",22.3,57.7,1400
"2025-10-22T11:47:15+09:00",22.1,58,1297
"2025-10-22T11:48:15+09:00",22.1,57.7,1241
"2025-10-22T11:49:15+09:00",22,57.8,1187
"2025-10-22T11:50:15+09:00",22,58.3,1148
"2025-10-22T11:51:15+09:00",21.9,57.9,1102
"2025-10-22T11:52:14+09:00",21.9,58.3,1057
"2025-10-22T11:53:14+09:00",22,58.3,1011
"2025-10-22T11:54:14+09:00",22,58,997
"2025-10-22T11:55:14+09:00",22,58.3,981
"2025-10-22T11:56:14+09:00",22,58.4,973
"2025-10-22T11:57:14+09:00",22,58.5,946
"2025-10-22T11:58:14+09:00",22,58.6,933
"2025-10-22T11:59:14+09:00",22,58.5,924
"2025-10-22T12:00:14+09:00",22,58.8,914
"2025-10-22T12:01:14+09:00",22,58.9,908
"2025-10-22T12:02:13+09:00",22,59,901
"2025-10-22T12:03:13+09:00",22,58.9,898
"2025-10-22T12:04:13+09:00",22,58,897
"2025-10-22T12:05:13+09:00",22.1,58.8,898
"2025-10-22T12:06:13+09:00",22,59,898
"2025-10-22T12:07:13+09:00",22,59.1,908
"2025-10-22T12:08:13+09:00",22,59.2,908
"2025-10-22T12:09:13+09:00",22,59.2,903
"2025-10-22T12:10:14+09:00",22,59.2,904
"2025-10-22T12:11:14+09:00",22,59,898
"2025-10-22T12:12:13+09:00",22,59.3,897
"2025-10-22T12:13:14+09:00",22,58.6,895
"2025-10-22T12:14:13+09:00",22,59.3,891
"2025-10-22T12:15:13+09:00",22,59.3,891
"2025-10-22T12:16:13+09:00",22,59.4,892
"2025-10-22T12:17:13+09:00",22,59.5,894
"2025-10-22T12:18:13+09:00",22,59.4,896
"2025-10-22T12:19:13+09:00",22,59.6,898
"2025-10-22T12:20:13+09:00",22,59.7,901
"2025-10-22T12:21:13+09:00",22,59.4,902
"2025-10-22T12:22:12+09:00",22,59.6,902
"2025-10-22T12:23:12+09:00",22,59.6,904
"2025-10-22T12:24:12+09:00",22,59.7,912
"2025-10-22T12:25:12+09:00",22,59.6,924
"2025-10-22T12:26:12+09:00",22,59.2,933
"2025-10-22T12:27:12+09:00",22,59.1,937
"2025-10-22T12:28:12+09:00",22,59.3,935
"2025-10-22T12:29:12+09:00",22,59.3,929
"2025-10-22T12:30:12+09:00",21.9,59.2,920
"2025-10-22T12:31:12+09:00",21.9,59.2,911
"2025-10-22T12:32:11+09:00",21.9,59.6,905
"2025-10-22T12:33:11+09:00",22,59.1,892
"2025-10-22T12:34:11+09:00",21.9,59.1,887
"2025-10-22T12:35:11+09:00",21.9,59.1,871
"2025-10-22T12:36:11+09:00",21.9,59.3,860
"2025-10-22T12:37:11+09:00",21.9,59.1,847
"2025-10-22T12:38:11+09:00",21.9,59,837
"2025-10-22T12:39:11+09:00",21.9,59.3,833
"2025-10-22T12:40:12+09:00",21.9,59.2,823
"2025-10-22T12:41:12+09:00",21.9,58.9,818
"2025-10-22T12:42:12+09:00",21.9,59.1,818
"2025-10-22T12:43:12+09:00",21.9,59.2,817
"2025-10-22T12:44:11+09:00",21.9,59.5,811
"2025-10-22T12:45:11+09:00",21.9,59.8,821
"2025-10-22T12:46:11+09:00",21.9,59.8,829
"2025-10-22T12:47:11+09:00",21.9,59.7,842
"2025-10-22T12:48:11+09:00",21.9,59.8,876
"2025-10-22T12:49:11+09:00",21.9,60.1,881
"2025-10-22T12:50:11+09:00",21.9,60.3,900
"2025-10-22T12:51:11+09:00",21.9,60.5,923
"2025-10-22T12:52:10+09:00",21.9,60.9,972
"2025-10-22T12:53:10+09:00",21.9,61,1027
"2025-10-22T12:54:10+09:00",21.9,59.9,1078
"2025-10-22T12:55:10+09:00",22,61.1,1100
"2025-10-22T12:56:10+09:00",22,61.1,1140
"2025-10-22T12:57:10+09:00",22,61.2,1164
"2025-10-22T12:58:10+09:00",22,61.4,1199
"2025-10-22T12:59:10+09:00",21.9,61.7,1213
"2025-10-22T13:00:10+09:00",21.9,61.2,1221
"2025-10-22T13:01:10+09:00",21.9,61.6,1218
"2025-10-22T13:02:09+09:00",21.9,62.3,1221
"2025-10-22T13:03:10+09:00",21.9,62.8,1258
"2025-10-22T13:04:09+09:00",22,62.3,1291
"2025-10-22T13:05:09+09:00",21.9,62.2,1328
"2025-10-22T13:06:09+09:00",21.8,62.5,1342
"2025-10-22T13:07:09+09:00",21.8,62.4,1341
"2025-10-22T13:08:09+09:00",21.8,63.1,1340
"2025-10-22T13:09:09+09:00",21.7,63.2,1338
"2025-10-22T13:10:10+09:00",21.7,62.5,1336
"2025-10-22T13:11:09+09:00",21.7,63,1331
"2025-10-22T13:12:09+09:00",21.7,62.9,1328
"2025-10-22T13:13:09+09:00",21.7,63.2,1323
"2025-10-22T13:14:09+09:00",21.7,65.2,1329
"2025-10-22T13:15:09+09:00",21.7,64,1344
"2025-10-22T13:16:09+09:00",21.7,64.9,1359
"2025-10-22T13:17:09+09:00",21.8,65.4,1368
"2025-10-22T13:18:09+09:00",21.9,63.7,1400
"2025-10-22T13:19:09+09:00",21.9,63.7,1403
"2025-10-22T13:20:09+09:00",21.9,64.1,1407
"2025-10-22T13:21:09+09:00",21.8,63.9,1409
"2025-10-22T13:22:08+09:00",21.8,63.9,1412
"2025-10-22T13:23:08+09:00",21.7,64.4,1409
"2025-10-22T13:24:08+09:00",21.6,64.4,1393
"2025-10-22T13:25:08+09:00",21.6,64.6,1383
"2025-10-22T13:26:08+09:00",21.6,64.7,1369
"2025-10-22T13:27:08+09:00",21.6,64.9,1359
"2025-10-22T13:28:08+09:00",21.6,64.9,1334
"2025-10-22T13:29:08+09:00",21.6,65.1,1325
"2025-10-22T13:30:08+09:00",21.6,65,1305
"2025-10-22T13:31:08+09:00",21.6,65.1,1281
"2025-10-22T13:32:08+09:00",21.5,65.2,1267
"2025-10-22T13:33:08+09:00",21.6,65.1,1265
"2025-10-22T13:34:07+09:00",21.5,65.1,1252
"2025-10-22T13:35:07+09:00",21.5,65.2,1227
"2025-10-22T13:36:07+09:00",21.5,65.2,1218
"2025-10-22T13:37:07+09:00",21.5,65.2,1201
"2025-10-22T13:38:07+09:00",21.5,65,1185
"2025-10-22T13:39:07+09:00",21.5,65,1170
"2025-10-22T13:40:07+09:00",21.5,65.1,1162
"2025-10-22T13:41:06+09:00",21.5,65,1158
"2025-10-22T13:42:06+09:00",21.5,64.9,1139
"2025-10-22T13:43:06+09:00",21.5,65,1127
"2025-10-22T13:44:06+09:00",21.4,65.1,1114
"2025-10-22T13:45:06+09:00",21.5,65.3,1106
"2025-10-22T13:46:06+09:00",21.4,65.1,1088
"2025-10-22T13:47:06+09:00",21.4,64.6,1060
"2025-10-22T13:48:06+09:00",21.5,65,1057
"2025-10-22T13:49:06+09:00",21.4,64.9,1046
"2025-10-22T13:50:06+09:00",21.4,64.8,1034
"2025-10-22T13:51:05+09:00",21.5,65.2,1029
"2025-10-22T13:52:05+09:00",21.5,64.7,1012
"2025-10-22T13:53:05+09:00",21.5,64.6,1002
"2025-10-22T13:54:05+09:00",21.5,64.7,989
"2025-10-22T13:55:05+09:00",21.5,64.6,980
"2025-10-22T13:56:05+09:00",21.4,64.6,968
"2025-10-22T13:57:05+09:00",21.4,64.7,963
"2025-10-22T13:58:05+09:00",21.4,64.6,955
"2025-10-22T13:59:05+09:00",21.5,64.9,944
"2025-10-22T14:00:06+09:00",21.4,64.7,940
"2025-10-22T14:01:06+09:00",21.4,64.7,928
"2025-10-22T14:02:05+09:00",21.5,64.8,927
"2025-10-22T14:03:05+09:00",21.4,64.6,917
"2025-10-22T14:04:05+09:00",21.4,65,908
"2025-10-22T14:05:05+09:00",21.5,64.7,901
"2025-10-22T14:06:05+09:00",21.5,64.9,897
"2025-10-22T14:07:05+09:00",21.4,65,887
"2025-10-22T14:08:05+09:00",21.5,64.9,878
"2025-10-22T14:09:05+09:00",21.5,65.1,876
"2025-10-22T14:10:05+09:00",21.4,64.9,875
"2025-10-22T14:11:05+09:00",21.4,64.9,868
"2025-10-22T14:12:04+09:00",21.4,65.2,868
"2025-10-22T14:13:05+09:00",21.4,64.9,866
"2025-10-22T14:14:04+09:00",21.4,64.9,857
"2025-10-22T14:15:04+09:00",21.4,64.7,854
"2025-10-22T14:16:04+09:00",21.4,65.1,851
"2025-10-22T14:17:04+09:00",21.5,65,848
"2025-10-22T14:18:04+09:00",21.5,65.2,837
"2025-10-22T14:19:04+09:00",21.5,64.9,832
"2025-10-22T14:20:04+09:00",21.5,65.1,828
"2025-10-22T14:21:03+09:00",21.4,64.9,827
"2025-10-22T14:22:03+09:00",21.5,65.1,823
"2025-10-22T14:23:03+09:00",21.5,65.3,812
"2025-10-22T14:24:03+09:00",21.5,65,810
"2025-10-22T14:25:03+09:00",21.4,65.1,802
"2025-10-22T14:26:03+09:00",21.5,64.7,800
"2025-10-22T14:27:03+09:00",21.5,64.8,797
"2025-10-22T14:28:03+09:00",21.5,64.8,791
"2025-10-22T14:29:03+09:00",21.5,64.7,782
"2025-10-22T14:30:03+09:00",21.5,64.5,768
"2025-10-22T14:31:03+09:00",21.5,64.5,766
"2025-10-22T14:32:03+09:00",21.5,64.5,757
"2025-10-22T14:33:02+09:00",21.5,64.8,747
"2025-10-22T14:34:03+09:00",21.5,64.7,739
"2025-10-22T14:35:02+09:00",21.5,64.4,734
"2025-10-22T14:36:02+09:00",21.5,64.7,726
"2025-10-22T14:37:02+09:00",21.5,64.8,721
"2025-10-22T14:38:02+09:00",21.5,64.5,711
"2025-10-22T14:39:02+09:00",21.5,64.9,708
"2025-10-22T14:40:03+09:00",21.5,64.7,704
"2025-10-22T14:41:03+09:00",21.5,65,702
"2025-10-22T14:42:02+09:00",21.5,64.8,699
"2025-10-22T14:43:02+09:00",21.5,65,690
"2025-10-22T14:44:02+09:00",21.5,64.8,691
"2025-10-22T14:45:02+09:00",21.5,64.9,681
"2025-10-22T14:46:02+09:00",21.5,65.1,679
"2025-10-22T14:47:02+09:00",21.5,65.1,674
"2025-10-22T14:48:02+09:00",21.5,65.3,671
"2025-10-22T14:49:02+09:00",21.5,65.3,665
"2025-10-22T14:50:02+09:00",21.5,65.3,657
"2025-10-22T14:51:02+09:00",21.5,65.2,657
"2025-10-22T14:52:02+09:00",21.5,65.3,654
"2025-10-22T14:53:01+09:00",21.5,65.2,645
"2025-10-22T14:54:01+09:00",21.5,65.4,644
"2025-10-22T14:55:01+09:00",21.5,65.3,642
"2025-10-22T14:56:01+09:00",21.5,65.6,636
"2025-10-22T14:57:01+09:00",21.5,65.5,636
"2025-10-22T14:58:01+09:00",21.5,65.5,633
"2025-10-22T14:59:01+09:00",21.5,65.4,632
"2025-10-22T15:00:01+09:00",21.5,65.6,625
"2025-10-22T15:01:01+09:00",21.5,65.8,623
"2025-10-22T15:02:00+09:00",21.5,65.7,618
"2025-10-22T15:03:00+09:00",21.5,65.7,616
"2025-10-22T15:04:00+09:00",21.5,65.7,615
"2025-10-22T15:05:00+09:00",21.5,65.7,614
"2025-10-22T15:06:00+09:00",21.5,66,614
"2025-10-22T15:07:00+09:00",21.5,65.7,612
"2025-10-22T15:08:00+09:00",21.5,65.9,605
"2025-10-22T15:09:00+09:00",21.5,65.9,607
"2025-10-22T15:10:00+09:00",21.5,65.9,600
"2025-10-22T15:11:00+09:00",21.5,65.8,600
"2025-10-22T15:11:59+09:00",21.5,66,596
"2025-10-22T15:12:59+09:00",21.5,65.7,594
"2025-10-22T15:13:59+09:00",21.5,65.9,589
"2025-10-22T15:14:59+09:00",21.5,66,586
"2025-10-22T15:15:59+09:00",21.5,66,585
"2025-10-22T15:16:59+09:00",21.5,66.2,580
"2025-10-22T15:17:59+09:00",21.5,66,580
"2025-10-22T15:18:59+09:00",21.5,66.1,574
"2025-10-22T15:20:00+09:00",21.5,66.3,574
"2025-10-22T15:21:00+09:00",21.5,66,572
"2025-10-22T15:21:59+09:00",21.5,66,570
"2025-10-22T15:22:59+09:00",21.5,66.1,566
"2025-10-22T15:23:59+09:00",21.5,65.9,564
"2025-10-22T15:24:59+09:00",21.5,65.9,562
"2025-10-22T15:25:59+09:00",21.5,66,561
"2025-10-22T15:26:59+09:00",21.5,66.2,555
"2025-10-22T15:27:59+09:00",21.5,66.1,554
"2025-10-22T15:28:59+09:00",21.5,66.1,553
"2025-10-22T15:29:59+09:00",21.5,66.2,547
"2025-10-22T15:30:59+09:00",21.5,66,545
"2025-10-22T15:31:59+09:00",21.5,66,541
"2025-10-22T15:32:59+09:00",21.5,66,540
"2025-10-22T15:33:59+09:00",21.5,66,537
"2025-10-22T15:34:59+09:00",21.5,66.1,536
"2025-10-22T15:35:58+09:00",21.5,66,534
"2025-10-22T15:36:58+09:00",21.5,66,527
"2025-10-22T15:37:58+09:00",21.5,65.9,529
"2025-10-22T15:38:58+09:00",21.5,66.1,528
"2025-10-22T15:39:59+09:00",21.5,65.9,522
"2025-10-22T15:40:59+09:00",21.5,66,519
"2025-10-22T15:41:59+09:00",21.5,66,520
"2025-10-22T15:42:58+09:00",21.5,66.1,515
"2025-10-22T15:43:58+09:00",21.5,66.1,512
"2025-10-22T15:44:58+09:00",21.5,66,512
"2025-10-22T15:45:58+09:00",21.5,66,516
"2025-10-22T15:46:58+09:00",21.5,65.9,510
"2025-10-22T15:47:58+09:00",21.5,66.1,510
"2025-10-22T15:48:58+09:00",21.5,66.1,507
"2025-10-22T15:49:58+09:00",21.5,66,507
"2025-10-22T15:50:57+09:00",21.5,66,504
"2025-10-22T15:51:58+09:00",21.5,65.9,503
"2025-10-22T15:52:57+09:00",21.5,66,504
"2025-10-22T15:53:57+09:00",21.5,66,499
"2025-10-22T15:54:57+09:00",21.5,65.9,499
"2025-10-22T15:55:57+09:00",21.5,66,494
"2025-10-22T15:56:57+09:00",21.5,65.9,490
"2025-10-22T15:57:57+09:00",21.5,66,491
"2025-10-22T15:58:57+09:00",21.5,66,490
"2025-10-22T15:59:57+09:00",21.5,66,488
"2025-10-22T16:00:57+09:00",21.5,66,483
"2025-10-22T16:01:57+09:00",21.5,66,483
"2025-10-22T16:02:56+09:00",21.5,66,481
"2025-10-22T16:03:56+09:00",21.5,66.1,479
"2025-10-22T16:04:56+09:00",21.5,65.9,476
"2025-10-22T16:05:56+09:00",21.4,65.8,476
"2025-10-22T16:06:56+09:00",21.5,65.7,471
"2025-10-22T16:07:56+09:00",21.4,65.6,468
"2025-10-22T16:08:56+09:00",21.4,65.6,468
"2025-10-22T16:09:57+09:00",21.4,65.7,468
"2025-10-22T16:10:57+09:00",21.4,65.5,464
"2025-10-22T16:11:57+09:00",21.4,65.4,461
"2025-10-22T16:12:56+09:00",21.4,65.5,458
"2025-10-22T16:13:57+09:00",21.4,65.3,455
"2025-10-22T16:14:56+09:00",21.4,65.3,454
"2025-10-22T16:15:56+09:00",21.4,65.1,453
"2025-10-22T16:16:56+09:00",21.4,65.2,452
"2025-10-22T16:17:56+09:00",21.4,65.4,449
"2025-10-22T16:18:56+09:00",21.4,65.2,446
"2025-10-22T16:19:56+09:00",21.4,65.2,445
"2025-10-22T16:20:55+09:00",21.4,65.1,444
"2025-10-22T16:21:55+09:00",21.4,65,444
"2025-10-22T16:22:55+09:00",21.4,64.9,444
"2025-10-22T16:23:55+09:00",21.4,64.8,443
"2025-10-22T16:24:55+09:00",21.3,64.8,439
"2025-10-22T16:25:55+09:00",21.4,64.8,437
"2025-10-22T16:26:55+09:00",21.3,64.7,434
"2025-10-22T16:27:55+09:00",21.4,64.5,431
"2025-10-22T16:28:55+09:00",21.4,64.6,431
"2025-10-22T16:29:56+09:00",21.4,64.5,430
"2025-10-22T16:30:56+09:00",21.4,64.5,431
"2025-10-22T16:31:55+09:00",21.3,64.4,430
"2025-10-22T16:32:55+09:00",21.3,64.4,430
"2025-10-22T16:33:55+09:00",21.3,64.6,428
"2025-10-22T16:34:55+09:00",21.3,64.3,428
"2025-10-22T16:35:55+09:00",21.3,64.3,427
"2025-10-22T16:36:55+09:00",21.3,64.3,422
"2025-10-22T16:37:55+09:00",21.3,64.4,421
"2025-10-22T16:38:55+09:00",21.3,64.3,422
"2025-10-22T16:39:55+09:00",21.3,64.2,420
"2025-10-22T16:40:55+09:00",21.3,64.3,418
"2025-10-22T16:41:55+09:00",21.3,64.2,415
"2025-10-22T16:42:55+09:00",21.3,64.3,412
"2025-10-22T16:43:55+09:00",21.3,64.2,408
"2025-10-22T16:44:55+09:00",21.3,64.1,408
"2025-10-22T16:45:55+09:00",21.3,64.2,411
"2025-10-22T16:46:54+09:00",21.3,64.1,410
"2025-10-22T16:47:55+09:00",21.3,64.1,410
"2025-10-22T16:48:54+09:00",21.3,64.1,410
"2025-10-22T16:49:55+09:00",21.3,64,408
"2025-10-22T16:50:55+09:00",21.3,64,409
"2025-10-22T16:51:55+09:00",21.3,63.9,406
"2025-10-22T16:52:54+09:00",21.3,64,406
"2025-10-22T16:53:54+09:00",21.3,64,404
"2025-10-22T16:54:54+09:00",21.3,64,402
"2025-10-22T16:55:54+09:00",21.3,64.2,404
"2025-10-22T16:56:54+09:00",21.3,64.2,405
"2025-10-22T16:57:54+09:00",21.3,64.1,405
"2025-10-22T16:58:54+09:00",21.3,64,404
"2025-10-22T16:59:54+09:00",21.3,63.9,403
"2025-10-22T17:00:54+09:00",21.3,64.1,403
"2025-10-22T17:01:53+09:00",21.3,64.1,402
"2025-10-22T17:02:54+09:00",21.3,64,400
"2025-10-22T17:03:53+09:00",21.3,64.1,396
"2025-10-22T17:04:54+09:00",21.3,63.9,397
"2025-10-22T17:05:53+09:00",21.3,63.9,395
"2025-10-22T17:06:53+09:00",21.3,64,395
"2025-10-22T17:07:53+09:00",21.3,63.9,393
"2025-10-22T17:08:53+09:00",21.3,64,402
"2025-10-22T17:09:54+09:00",21.3,64,406
"2025-10-22T17:10:54+09:00",21.3,63.9,401
"2025-10-22T17:11:54+09:00",21.2,63.9,403
"2025-10-22T17:12:54+09:00",21.2,63.9,406
"2025-10-22T17:13:54+09:00",21.3,63.8,406
"2025-10-22T17:14:54+09:00",21.3,63.9,402
"2025-10-22T17:15:53+09:00",21.3,63.9,399
"2025-10-22T17:16:53+09:00",21.3,63.8,399
"2025-10-22T17:17:53+09:00",21.2,64,399
"2025-10-22T17:18:53+09:00",21.3,63.7,399
"2025-10-22T17:19:54+09:00",21.3,63.9,398
"2025-10-22T17:20:54+09:00",21.2,63.6,397
"2025-10-22T17:21:54+09:00",21.2,63.9,395
"2025-10-22T17:22:53+09:00",21.2,63.8,399
"2025-10-22T17:23:53+09:00",21.3,63.6,401
"2025-10-22T17:24:53+09:00",21.2,63.6,399
"2025-10-22T17:25:53+09:00",21.1,63.9,400
"2025-10-22T17:26:53+09:00",21.1,64.1,403
"2025-10-22T17:27:53+09:00",21.2,64.3,405
"2025-10-22T17:28:53+09:00",21.2,63.9,414
"2025-10-22T17:29:53+09:00",21.2,64.4,420
"2025-10-22T17:30:53+09:00",21.2,64.7,440
"2025-10-22T17:31:52+09:00",21.3,65,457
"2025-10-22T17:32:52+09:00",21.3,64.4,472
"2025-10-22T17:33:52+09:00",21.2,64.6,487
"2025-10-22T17:34:52+09:00",21.3,64.8,492
"2025-10-22T17:35:52+09:00",21.3,65,499
"2025-10-22T17:36:52+09:00",21.3,64.3,502
"2025-10-22T17:37:52+09:00",21.3,64,511
"2025-10-22T17:38:52+09:00",21.3,64.5,512
"2025-10-22T17:39:53+09:00",21.3,64.3,512
"2025-10-22T17:40:53+09:00",21.3,64.1,512
"2025-10-22T17:41:53+09:00",21.3,64.1,508
"2025-10-22T17:42:53+09:00",21.3,64.3,509
"2025-10-22T17:43:52+09:00",21.3,64.6,509
"2025-10-22T17:44:52+09:00",21.3,64.4,509
"2025-10-22T17:45:52+09:00",21.3,64.4,521
"2025-10-22T17:46:52+09:00",21.3,64.4,525
"2025-10-22T17:47:52+09:00",21.3,64.3,530
"2025-10-22T17:48:52+09:00",21.4,64.3,535
"2025-10-22T17:49:52+09:00",21.4,64.2,541
"2025-10-22T17:50:52+09:00",21.4,64.3,543
"2025-10-22T17:51:52+09:00",21.4,64.2,543
"2025-10-22T17:52:51+09:00",21.4,64.3,544
"2025-10-22T17:53:52+09:00",21.3,64.8,545
"2025-10-22T17:54:51+09:00",21.4,64.6,550
"2025-10-22T17:55:51+09:00",21.4,64.6,555
"2025-10-22T17:56:51+09:00",21.3,64.6,556
"2025-10-22T17:57:51+09:00",21.4,64.9,557
"2025-10-22T17:58:51+09:00",21.4,64.5,553
"2025-10-22T17:59:51+09:00",21.4,65.3,555
"2025-10-22T18:00:51+09:00",21.5,65,566
"2025-10-22T18:01:51+09:00",21.3,65.3,577
"2025-10-22T18:02:51+09:00",21.3,65.5,588
"2025-10-22T18:03:50+09:00",21.3,65.8,596
"2025-10-22T18:04:51+09:00",21.3,65.9,610
"2025-10-22T18:05:50+09:00",21.3,65.8,624
"2025-10-22T18:06:50+09:00",21.3,66,643
"2025-10-22T18:07:51+09:00",21.3,65.9,655
"2025-10-22T18:08:50+09:00",21.3,65.7,672
"2025-10-22T18:09:51+09:00",21.3,65.9,681
"2025-10-22T18:10:51+09:00",21.3,65.5,686
"2025-10-22T18:11:51+09:00",21.2,65.7,693
"2025-10-22T18:12:50+09:00",21.1,65.7,693
"2025-10-22T18:13:51+09:00",21.1,65.7,691
"2025-10-22T18:14:50+09:00",21,65.7,693
"2025-10-22T18:15:51+09:00",21,66,692
"2025-10-22T18:16:50+09:00",21,65.7,702
"2025-10-22T18:17:50+09:00",21,65.9,715
"2025-10-22T18:18:50+09:00",21,65.9,727
"2025-10-22T18:19:51+09:00",21,65.8,766
"2025-10-22T18:20:51+09:00",21,65.8,804
"2025-10-22T18:21:51+09:00",21.1,66,845
"2025-10-22T18:22:51+09:00",21.1,66.5,873
"2025-10-22T18:23:51+09:00",21.1,66.9,914
"2025-10-22T18:24:51+09:00",21.1,67.1,931
"2025-10-22T18:25:51+09:00",21.1,66.5,964
"2025-10-22T18:26:51+09:00",21,66.6,973
"2025-10-22T18:27:51+09:00",21.1,66.3,974
"2025-10-22T18:28:51+09:00",21,66.5,972
"2025-10-22T18:29:51+09:00",21,66.5,962
"2025-10-22T18:30:51+09:00",21.1,66.2,961
"2025-10-22T18:31:51+09:00",21.1,66.3,954
"2025-10-22T18:32:50+09:00",21.1,67.2,949
"2025-10-22T18:33:51+09:00",21.2,67,949
"2025-10-22T18:34:51+09:00",21.3,67.1,951
"2025-10-22T18:35:50+09:00",21.4,66.8,952
"2025-10-22T18:36:51+09:00",21.4,67.2,962
"2025-10-22T18:37:51+09:00",21.5,66.8,966
"2025-10-22T18:38:50+09:00",21.5,67.2,970
"2025-10-22T18:39:51+09:00",21.6,67.2,971
"2025-10-22T18:40:51+09:00",21.6,67.2,976
"2025-10-22T18:41:51+09:00",21.6,68.1,980
"2025-10-22T18:42:51+09:00",21.6,68.1,982
"2025-10-22T18:43:50+09:00",21.7,68.4,986
"2025-10-22T18:44:50+09:00",21.7,69.4,1000
"2025-10-22T18:45:50+09:00",21.7,68.9,1026
"2025-10-22T18:46:50+09:00",21.8,69.2,1053
"2025-10-22T18:47:50+09:00",21.9,69.6,1082
"2025-10-22T18:48:50+09:00",22,69.5,1101
"2025-10-22T18:49:50+09:00",22,69.2,1113
"2025-10-22T18:50:49+09:00",22,69.7,1122
"2025-10-22T18:51:49+09:00",22,69.7,1138
"2025-10-22T18:52:49+09:00",22,69.6,1157
"2025-10-22T18:53:49+09:00",22,69.6,1171
"2025-10-22T18:54:49+09:00",22,70,1173
"2025-10-22T18:55:49+09:00",22,70.1,1180
"2025-10-22T18:56:49+09:00",22,69.8,1187
"2025-10-22T18:57:49+09:00",22,70.4,1203
"2025-10-22T18:58:49+09:00",22.1,70.2,1209
"2025-10-22T18:59:49+09:00",22.1,69.9,1225
"2025-10-22T19:00:49+09:00",22.1,70,1235
"2025-10-22T19:01:48+09:00",22.1,70.2,1258
"2025-10-22T19:02:48+09:00",22.1,70.2,1270
"2025-10-22T19:03:48+09:00",22.1,70.1,1287
"2025-10-22T19:04:48+09:00",22.1,70.2,1300
"2025-10-22T19:05:48+09:00",22.1,70.2,1308
"2025-10-22T19:06:48+09:00",22.1,70.6,1322
"2025-10-22T19:07:48+09:00",22,70.6,1336
"2025-10-22T19:08:48+09:00",22.1,70.8,1345
"2025-10-22T19:09:49+09:00",22.1,70.8,1354
"2025-10-22T19:10:48+09:00",22,71.1,1362
"2025-10-22T19:11:48+09:00",22.1,71,1376
"2025-10-22T19:12:48+09:00",22.1,70.7,1396
"2025-10-22T19:13:48+09:00",22.1,70.5,1407
"2025-10-22T19:14:48+09:00",22.2,70.5,1425
"2025-10-22T19:15:48+09:00",22.2,70.2,1435
"2025-10-22T19:16:48+09:00",22.2,69.8,1443
"2025-10-22T19:17:48+09:00",22.3,69.7,1448
"2025-10-22T19:18:48+09:00",22.4,69.9,1451
"2025-10-22T19:19:48+09:00",22.4,70,1463
"2025-10-22T19:20:48+09:00",22.4,69.7,1491
"2025-10-22T19:21:47+09:00",22.4,69.9,1506
"2025-10-22T19:22:47+09:00",22.4,69.9,1515
"2025-10-22T19:23:47+09:00",22.4,69.9,1528
"2025-10-22T19:24:47+09:00",22.3,70,1534
